,faa,qa_faa,qa_name,qa_lat,qa_lon,qa_alt,qa_tz,qa_dst
712,KTS,F,,,,,,
713,KUK,F,,,,,,
714,KVC,F,,,,,,
715,KVL,F,,,,,,
716,KWK,F,,,,,,
717,KWN,F,,,,,,
718,KWP,F,,,,,,
719,KWT,F,,,,,,
720,KYK,F,,,,,,
721,KYU,F,,,,,,
722,KZB,F,,,,,,
723,L06,F,,,,,,
724,L35,F,,,,,,
725,LAA,F,,,,,,
726,LAF,F,,,,,,
727,LAL,F,,,,,,
728,LAM,F,,,,,,
729,LAN,F,,,,,,
730,LAR,F,,,,,,
731,LAS,F,,,,,,
732,LAW,F,,,,,,
733,LAX,F,,,,,,
734,LBB,F,,,,,,
735,LBE,F,,,,,,
736,LBF,F,,,,,,
737,LBL,F,,,,,,
738,LBT,F,,,,,,
739,LCH,F,,,,,,
740,LCK,F,,,,,,
741,LCQ,F,,,,,,
742,LDJ,F,,,,,,
743,LEB,F,,,,,,
744,LEW,F,,,,,,
745,LEX,F,,,,,,
746,LFI,F,,,,,,
747,LFK,F,,,,,,
748,LFT,F,,,,,,
749,LGA,F,,,,,,
750,LGB,F,,,,,,
751,LGC,F,,,,,,
752,LGU,F,,,,,,
753,LHD,F,,,,,,
754,LHV,F,,,,,,
755,LHX,F,,,,,,
756,LIH,F,,,,,,
757,LIT,F,,,,,,
758,LIV,F,,,,,,
759,LKE,F,,,,,,
760,LKP,F,,,,,,
761,LMT,F,,,,,,
762,LNA,F,,,,,,
763,LNK,F,,,,,,
764,LNN,F,,,,,,
765,LNR,F,,,,,,
766,LNS,F,,,,,,
767,LNY,F,,,,,,
768,LOT,F,,,,,,
769,LOU,F,,,,,,
770,LOZ,F,,,,,,
771,LPC,F,,,,,,
772,LPR,F,,,,,,
773,LPS,F,,,,,,
774,LRD,F,,,,,,
775,LRF,F,,,,,,
776,LRU,F,,,,,,
777,LSE,F,,,,,,
778,LSF,F,,,,,,
779,LSV,F,,,,,,
780,LTS,F,,,,,,
781,LUF,F,,,,,,
782,LUK,F,,,,,,
783,LUP,F,,,,,,
784,LUR,F,,,,,,
785,LVK,F,,,,,,
786,LVM,F,,,,,,
787,LVS,F,,,,,,
788,LWA,F,,,,,,
789,LWB,F,,,,,,
790,LWC,F,,,,,,
791,LWM,F,,,,,,
792,LWS,F,,,,,,
793,LWT,F,,,,,,
794,LXY,F,,,,,,
795,LYH,F,,,,,,
796,LYU,F,,,,,,
797,LZU,F,,,,,,
798,MAE,F,,,,,,
799,MAF,F,,,,,,
800,MBL,F,,,,,,
801,MBS,F,,,,,,
802,MCC,F,,,,,,
803,MCD,F,,,,,,
804,MCE,F,,,,,,
805,MCF,F,,,,,,
806,MCG,F,,,,,,
807,MCI,F,,,,,,
808,MCK,F,,,,,,
809,MCL,F,,,,,,
810,MCN,F,,,,,,
811,MCO,F,,,,,,
812,MCW,F,,,,,,
813,MDT,F,,,,,,
814,MDW,F,,,,,,
815,ME5,F,,,,,,
816,MEI,F,,,,,,
817,MEM,F,,,,,,
818,MER,F,,,,,,
819,MFD,F,,,,,,
820,MFE,F,,,,,,
821,MFI,F,,,,,,
822,MFR,F,,,,,,
823,MGC,F,,,,,,
824,MGE,F,,,,,,
825,MGJ,F,,,,,,
826,MGM,F,,,,,,
827,MGR,F,,,,,,
828,MGW,F,,,,,,
829,MGY,F,,,,,,
830,MHK,F,,,,,,
831,MHM,F,,,,,,
832,MHR,F,,,,,,
833,MHT,F,,,,,,
834,MHV,F,,,,,,
835,MIA,F,,,,,,
836,MIB,F,,,,,,
837,MIE,F,,,,,,
838,MIV,F,,,,,,
839,MKC,F,,,,,,
840,MKE,F,,,,,,
841,MKG,F,,,,,,
842,MKK,F,,,,,,
843,MKL,F,,,,,,
844,MKO,F,,,,,,
845,MLB,F,,,,,,
846,MLC,F,,,,,,
847,MLD,F,,,,,,
848,MLI,F,,,,,,
849,MLJ,F,,,,,,
850,MLL,F,,,,,,
851,MLS,F,,,,,,
852,MLT,F,,,,,,
853,MLU,F,,,,,,
854,MLY,F,,,,,,
855,MMH,F,,,,,,
856,MMI,F,,,,,,
857,MMU,F,,,,,,
858,MMV,F,,,,,,
859,MNM,F,,,,,,
860,MNT,F,,,,,,
861,MOB,F,,,,,,
862,MOD,F,,,,,,
863,MOT,F,,,,,,
864,MOU,F,,,,,,
865,MPB,F,,,,,,
866,MPI,F,,,,,,
867,MPV,F,,,,,,
868,MQB,F,,,,,,
869,MQT,F,,,,,,
870,MRB,F,,,,,,
871,MRI,F,,,,,,
872,MRK,F,,,,,,
873,MRN,F,,,,,,
874,MRY,F,,,,,,
875,MSL,F,,,,,,
876,MSN,F,,,,,,
877,MSO,F,,,,,,
878,MSP,F,,,,,,
879,MSS,F,,,,,,
880,MSY,F,,,,,,
881,MTC,F,,,,,,
882,MTH,F,,,,,,
883,MTJ,F,,,,,,
884,MTM,F,,,,,,
885,MUE,F,,,,,,
886,MUI,F,,,,,,
887,MUO,F,,,,,,
888,MVL,F,,,,,,
889,MVY,F,,,,,,
890,MWA,F,,,,,,
891,MWC,F,,,,,,
892,MWH,F,,,,,,
893,MWL,F,,,,,,
894,MWM,F,,,,,,
895,MXF,F,,,,,,
896,MXY,F,,,,,,
897,MYF,F,,,,,,
898,MYL,F,,,,,,
899,MYR,F,,,,,,
900,MYU,F,,,,,,
901,MYV,F,,,,,,
902,MZJ,F,,,,,,
903,N53,F,,,,,,
904,N69,F,,,,,,
905,N87,F,,,,,,
906,NBG,F,,,,,,
907,NBU,F,,,,,,
908,NCN,F,,,,,,
909,NEL,F,,,,,,
910,NFL,F,,,,,,
911,NGF,F,,,,,,
912,NGP,F,,,,,,
913,NGU,F,,,,,,
914,NGZ,F,,,,,,
915,NHK,F,,,,,,
916,NIB,F,,,,,,
917,NID,F,,,,,,
918,NIP,F,,,,,,
919,NJK,F,,,,I,,
920,NKT,F,,,,,,
921,NKX,F,,,,,,
922,NLC,F,,,,,,
923,NLG,F,,,,,,
924,NME,F,,,,,,
925,NMM,F,,,,,,
926,NNL,F,,,,,,
927,NOW,F,,,,,,
928,NPA,F,,,,,,
929,NPZ,F,,,,,,
930,NQA,F,,,,,,
931,NQI,F,,,,,,
932,NQX,F,,,,,,
933,NSE,F,,,,,,
934,NTD,F,,,,,,
935,NTU,F,,,,,,
936,NUI,F,,,,,,
937,NUL,F,,,,,,
938,NUP,F,,,,,,
939,NUQ,F,,,,,,
940,NUW,F,,,,,,
941,NXP,F,,,,,,
942,NXX,F,,,,,,
943,NY9,F,,,,,,
944,NYC,F,,,,,,
945,NYG,F,,,,,,
946,NZC,F,,,,,,
947,NZJ,F,,,,,,
948,NZY,F,,,,,,
949,O03,F,,,,,,
950,O27,F,,,,,,
951,OAJ,F,,,,,,
952,OAK,F,,,,,,
953,OAR,F,,,,,,
954,OBE,F,,,,,,
955,OBU,F,,,,,,
956,OCA,F,,,,,,
957,OCF,F,,,,,,
958,OEB,F,,,,,,
959,OFF,F,,,,,,
960,OGG,F,,,,,,
961,OGS,F,,,,,,
962,OKC,F,,,,,,
963,OLF,F,,,,,,
964,OLH,F,,,,,,
965,OLM,F,,,,,,
966,OLS,F,,,,,,
967,OLV,F,,,,,,
968,OMA,F,,,,,,
969,OME,F,,,,,,
970,OMN,F,,,,,,
971,ONH,F,,,,,,
972,ONP,F,,,,,,
973,ONT,F,,,,,,
974,OOK,F,,,,,,
975,OPF,F,,,,,,
976,OQU,F,,,,,,
977,ORD,F,,,,,,
978,ORF,F,,,,,,
979,ORH,F,,,,,,
980,ORI,F,,,,,,
981,ORL,F,,,,,,
982,ORT,F,,,,,,
983,ORV,F,,,,,,
984,OSC,F,,,,,,
985,OSH,F,,,,,,
986,OSU,F,,,,,,
987,OTH,F,,,,,,
988,OTS,F,,,,,,
989,OTZ,F,,,,,,
990,OWB,F,,,,,,
991,OWD,F,,,,,,
992,OXC,F,,,,,,
993,OXD,F,,,,,,
994,OXR,F,,,,,,
995,OZA,F,,,,,,
996,P08,F,,,,,,
997,P52,F,,,,,,
998,PAE,F,,,,,,
999,PAH,F,,,,,,
1000,PAM,F,,,,,,
1001,PAO,F,,,,,,
1002,PAQ,F,,,,,,
1003,PBF,F,,,,,,
1004,PBG,F,,,,,,
1005,PBI,F,,,,,,
1006,PBV,F,,,,,,
1007,PBX,F,,,,,,
1008,PCW,F,,,,,,
1009,PCZ,F,,,,,,
1010,PDB,F,,,,,,
1011,PDK,F,,,,,,
1012,PDT,F,,,,,,
1013,PDX,F,,,,,,
1014,PEC,F,,,,,,
1015,PEQ,F,,,,,,
1016,PFN,F,,,,,,
1017,PGA,F,,,,,,
1018,PGD,F,,,,,,
1019,PGV,F,,,,,,
1020,PHD,F,,,,,,
1021,PHF,F,,,,,,
1022,PHK,F,,,,,,
1023,PHL,F,,,,,,
1024,PHN,F,,,,,,
1025,PHO,F,,,,,,
1026,PHX,F,,,,,,
1027,PIA,F,,,,,,
1028,PIB,F,,,,,,
1029,PIE,F,,,,,,
1030,PIH,F,,,,,,
1031,PIM,F,,,,,,
1032,PIP,F,,,,,,
1033,PIR,F,,,,,,
1034,PIT,F,,,,,,
1035,PIZ,F,,,,,,
1036,PKB,F,,,,,,
1037,PLN,F,,,,,,
1038,PMB,F,,,,,,
1039,PMD,F,,,,,,
1040,PML,F,,,,,,
1041,PMP,F,,,,,,
1042,PNC,F,,,,,,
1043,PNE,F,,,,,,
1044,PNM,F,,,,,,
1045,PNS,F,,,,,,
1046,POB,F,,,,,,
1047,POC,F,,,,,,
1048,POE,F,,,,,,
1049,POF,F,,,,,,
1050,PPC,F,,,,,,
1051,PPV,F,,,,,,
1052,PQI,F,,,,,,
1053,PQS,F,,,,,,
1054,PRC,F,,,,,,
1055,PSC,F,,,,,,
1056,PSG,F,,,,,,
1057,PSM,F,,,,,,
1058,PSP,F,,,,,,
1059,PSX,F,,,,,,
1060,PTB,F,,,,,,
1061,PTH,F,,,,,,
1062,PTK,F,,,,,,
1063,PTU,F,,,,,,
1064,PUB,F,,,,,,
1065,PUC,F,,,,,,
1066,PUW,F,,,,,,
1067,PVC,F,,,,,,
1068,PVD,F,,,,,,
1069,PVU,F,,,,,,
1070,PWK,F,,,,,,
1071,PWM,F,,,,,,
1072,PWT,F,,,,,,
1073,PYM,F,,,,,,
1074,PYP,F,,,,,,
1075,R49,F,,,,,,
1076,RAC,F,,,,,,
1077,RAL,F,,,,,,
1078,RAP,F,,,,,,
1079,RBD,F,,,,,,
1080,RBK,F,,,,,,
1081,RBM,F,,,,,,
1082,RBN,F,,,,,,
1083,RBY,F,,,,,,
1084,RCA,F,,,,,,
1085,RCE,F,,,,,,
1086,RCZ,F,,,,,,
1087,RDD,F,,,,,,
1088,RDG,F,,,,,,
1089,RDM,F,,,,,,
1090,RDR,F,,,,,,
1091,RDU,F,,,,,,
1092,RDV,F,,,,,,
1093,REI,F,,,,,,
1094,RFD,F,,,,,,
1095,RHI,F,,,,,,
1096,RIC,F,,,,,,
1097,RID,F,,,,,,
1098,RIF,F,,,,,,
1099,RIL,F,,,,,,
1100,RIR,F,,,,,,
1101,RIU,F,,,,,,
1102,RIV,F,,,,,,
1103,RIW,F,,,,,,
1104,RKD,F,,,,,,
1105,RKH,F,,,,,,
1106,RKP,F,,,,,,
1107,RKS,F,,,,,,
1108,RME,F,,,,,,
1109,RMG,F,,,,,,
1110,RMP,F,,,,,,
1111,RMY,F,,,,,,
1112,RND,F,,,,,,
1113,RNM,F,,,,,,
1114,RNO,F,,,,,,
1115,RNT,F,,,,,,
1116,ROA,F,,,,,,
1117,ROC,F,,,,,,
1118,ROW,F,,,,,,
1119,RSH,F,,,,,,
1120,RSJ,F,,,,,,
1121,RST,F,,,,,,
1122,RSW,F,,,,,,
1123,RUT,F,,,,,,
1124,RVS,F,,,,,,
1125,RWI,F,,,,,,
1126,RWL,F,,,,,,
1127,RYY,F,,,,,,
1128,S46,F,,,,,,
1129,SAA,F,,,,,,
1130,SAC,F,,,,,,
1131,SAD,F,,,,,,
1132,SAF,F,,,,,,
1133,SAN,F,,,,,,
1134,SAT,F,,,,,,
1135,SAV,F,,,,,,
1136,SBA,F,,,,,,
1137,SBD,F,,,,,,
1138,SBM,F,,,,,,
1139,SBN,F,,,,,,
1140,SBO,F,,,,,,
1141,SBP,F,,,,,,
1142,SBS,F,,,,,,
1143,SBY,F,,,,,,
1144,SCC,F,,,,,,
1145,SCE,F,,,,,,
1146,SCH,F,,,,,,
1147,SCK,F,,,,,,
1148,SCM,F,,,,,,
1149,SDC,F,,,,,,
1150,SDF,F,,,,,,
1151,SDM,F,,,,,,
1152,SDP,F,,,,,,
1153,SDX,F,,,,,,
1154,SDY,F,,,,,,
1155,SEA,F,,,,,,
1156,SEE,F,,,,,,
1157,SEF,F,,,,,,
1158,SEM,F,,,,,,
1159,SES,F,,,,,,
1160,SFB,F,,,,,,
1161,SFF,F,,,,,,
1162,SFM,F,,,,,,
1163,SFO,F,,,,,,
1164,SFZ,F,,,,,,
1165,SGF,F,,,,,,
1166,SGH,F,,,,,,
1167,SGJ,F,,,,,,
1168,SGR,F,,,,,,
1169,SGU,F,,,,,,
1170,SGY,F,,,,,,
1171,SHD,F,,,,,,
1172,SHG,F,,,,,,
1173,SHH,F,,,,,,
1174,SHR,F,,,,,,
1175,SHV,F,,,,,,
1176,SHX,F,,,,,,
1177,SIK,F,,,,,,
1178,SIT,F,,,,,,
1179,SJC,F,,,,,,
1180,SJT,F,,,,,,
1181,SKA,F,,,,,,
1182,SKF,F,,,,,,
1183,SKK,F,,,,,,
1184,SKY,F,,,,,,
1185,SLC,F,,,,,,
1186,SLE,F,,,,,,
1187,SLK,F,,,,,,
1188,SLN,F,,,,,,
1189,SLQ,F,,,,,,
1190,SMD,F,,,,,,
1191,SME,F,,,,,,
1192,SMF,F,,,,,,
1193,SMK,F,,,,,,
1194,SMN,F,,,,,,
1195,SMO,F,,,,,,
1196,SMX,F,,,,,,
1197,SNA,F,,,,,,
1198,SNP,F,,,,,,
1199,SNY,F,,,,,,
1200,SOP,F,,,,,,
1201,SOW,F,,,,,,
1202,SPB,F,,,,,,
1203,SPF,F,,,,,,
1204,SPG,F,,,,,,
1205,SPI,F,,,,,,
1206,SPS,F,,,,,,
1207,SPW,F,,,,,,
1208,SPZ,F,,,,,,
1209,SQL,F,,,,,,
1210,SRQ,F,,,,,,
1211,SRR,F,,,,,,
1212,SRV,F,,,,,,
1213,SSC,F,,,,,,
1214,SSI,F,,,,,,
1215,STC,F,,,,,,
1216,STE,F,,,,,,
1217,STG,F,,,,,,
1218,STJ,F,,,,,,
1219,STK,F,,,,,,
1220,STL,F,,,,,,
1221,STS,F,,,,,,
1222,SUA,F,,,,,,
1223,SUE,F,,,,,,
1224,SUN,F,,,,,,
1225,SUS,F,,,,,,
1226,SUU,F,,,,,,
1227,SUX,F,,,,,,
1228,SVA,F,,,,,,
1229,SVC,F,,,,,,
1230,SVH,F,,,,,,
1231,SVN,F,,,,,,
1232,SVW,F,,,,,,
1233,SWD,F,,,,,,
1234,SWF,F,,,,,,
1235,SXP,F,,,,,,
1236,SXQ,F,,,,,,
1237,SYA,F,,,,,,
1238,SYB,F,,,,,,
1239,SYR,F,,,,,,
1240,SZL,F,,,,,,
1241,TAL,F,,,,,,
1242,TAN,F,,,,,,
1243,TBN,F,,,,,,
1244,TCC,F,,,,,,
1245,TCL,F,,,,,,
1246,TCM,F,,,,,,
1247,TCS,F,,,,,,
1248,TCT,F,,,,,,
1249,TEB,F,,,,,,
1250,TEK,F,,,,,,
1251,TEX,F,,,,,,
1252,TIK,F,,,,,,
1253,TIW,F,,,,,,
1254,TKA,F,,,,,,
1255,TKE,F,,,,,,
1256,TKF,F,,,,,,
1257,TKI,F,,,,,,
1258,TLA,F,,,,,,
1259,TLH,F,,,,,,
1260,TLJ,F,,,,,,
1261,TLT,F,,,,,,
1262,TMA,F,,,,,,
1263,TMB,F,,,,,,
1264,TNC,F,,,,,,
1265,TNK,F,,,,,,
1266,TNT,F,,,,,,
1267,TNX,F,,,,,,
1268,TOA,F,,,,,,
1269,TOC,F,,,,,,
1270,TOG,F,,,,,,
1271,TOL,F,,,,,,
1272,TOP,F,,,,,,
1273,TPA,F,,,,,,
1274,TPL,F,,,,,,
1275,TRI,F,,,,,,
1276,TRM,F,,,,,,
1277,TSS,F,,,,,,
1278,TTD,F,,,,,,
1279,TTN,F,,,,,,
1280,TUL,F,,,,,,
1281,TUP,F,,,,,,
1282,TUS,F,,,,,,
1283,TVC,F,,,,,,
1284,TVF,F,,,,,,
1285,TVI,F,,,,,,
1286,TVL,F,,,,,,
1287,TWA,F,,,,,,
1288,TWD,F,,,,,,
1289,TWF,F,,,,,,
1290,TXK,F,,,,,,
1291,TYE,F,,,,,,
1292,TYR,F,,,,,,
1293,TYS,F,,,,,,
1294,U76,F,,,,,,
1295,UDD,F,,,,,,
1296,UDG,F,,,,,,
1297,UES,F,,,,,,
1298,UGN,F,,,,,,
1299,UIN,F,,,,,,
1300,UMP,F,,,,,,
1301,UNK,F,,,,,,
1302,UPP,F,,,,,,
1303,UST,F,,,,,,
1304,UTM,F,,,,,,
1305,UTO,F,,,,,,
1306,UUK,F,,,,,,
1307,UUU,F,,,,,,
1308,UVA,F,,,,,,
1309,VAD,F,,,,,,
1310,VAK,F,,,,,,
1311,VAY,F,,,,,,
1312,VBG,F,,,,,,
1313,VCT,F,,,,,,
1314,VCV,F,,,,,,
1315,VDF,F,,,,,,
1316,VDZ,F,,,,,,
1317,VEE,F,,,,,,
1318,VEL,F,,,,,,
1319,VGT,F,,,,,,
1320,VIS,F,,,,,,
1321,VLD,F,,,,,,
1322,VNW,F,,,,,,
1323,VNY,F,,,,,,
1324,VOK,F,,,,,,
1325,VPC,F,,,,,,
1326,VPS,F,,,,,,
1327,VRB,F,,,,,,
1328,VSF,F,,,,,,
1329,VYS,F,,,,,,
1330,W13,F,,,,,,
1331,WAA,F,,,,,,
1332,WAL,F,,,,,,
1333,WAS,F,,,,,,
1334,WBB,F,,,,,,
1335,WBQ,F,,,,,,
1336,WBU,F,,,,,,
1337,WBW,F,,,,,,
1338,WDR,F,,,,,,
1339,WFB,F,,,,,,
1340,WFK,F,,,,,,
1341,WHD,F,,,,,,
1342,WHP,F,,,,,,
1343,WIH,F,,,,,,
1344,WKK,F,,,,,,
1345,WKL,F,,,,,,
1346,WLK,F,,,,,,
1347,WMO,F,,,,,,
1348,WRB,F,,,,,,
1349,WRG,F,,,,,,
1350,WRI,F,,,,,,
1351,WRL,F,,,,,,
1352,WSD,F,,,,,,
1353,WSJ,F,,,,,,
1354,WSN,F,,,,,,
1355,WST,F,,,,,,
1356,WSX,F,,,,,,
1357,WTK,F,,,,,,
1358,WTL,F,,,,,,
1359,WWD,F,,,,,,
1360,WWP,F,,,,,,
1361,WWT,F,,,,,,
1362,WYS,F,,,,,,
1363,X01,F,,,,,,
1364,X07,F,,,,,,
1365,X21,F,,,,,,
1366,X39,F,,,,,,
1367,X49,F,,,,,,
1368,XFL,F,,,,,,
1369,XNA,F,,,,,,
1370,XZK,F,,,,,,
1371,Y51,F,,,,,,
1372,Y72,F,,,,,,
1373,YAK,F,,,,,,
1374,YIP,F,,,,,,
1375,YKM,F,,,,,,
1376,YKN,F,,,,,,
1377,YNG,F,,,,,,
1378,YUM,F,,,,,,
1379,Z84,F,,,,,,
1380,ZBP,F,,,,,,
1381,ZFV,F,,,,,,
1382,ZPH,F,,,,,,
1383,ZRA,F,,,,,,
1384,ZRD,F,,,,,,
1385,ZRP,F,,,,,,
1386,ZRT,F,,,,,,
1387,ZRZ,F,,,,,,
1388,ZSF,F,,,,,,
1389,ZSY,F,,,,,,
1390,ZTF,F,,,,,,
1391,ZTY,F,,,,,,
1392,ZUN,F,,,,,,
1393,ZVE,F,,,,,,
1394,ZWI,F,,,,,,
1395,ZWU,F,,,,,,
1396,ZYP,F,,,,,,
